2/13/2015 2:34:36 PM Expected non-empty string, but got empty string
2/13/2015 2:34:38 PM Expected non-empty string, but got empty string
2/13/2015 2:34:38 PM Expected state abbreviation, but got ia
2/13/2015 2:34:40 PM Expected non-empty string, but got empty string
2/13/2015 2:34:42 PM Expected decimal, but got 120
2/13/2015 2:34:55 PM Expected yes or no, but got 
2/13/2015 2:45:55 PM Expected yes or no, but got 
2/13/2015 10:36:59 PM Expected yes or no, but got 
2/13/2015 10:37:00 PM Expected yes or no, but got 
2/13/2015 10:40:28 PM Expected non-empty string, but got empty string
2/13/2015 10:40:32 PM Expected non-empty string, but got empty string
2/13/2015 10:40:32 PM Expected state abbreviation, but got IL
2/13/2015 10:40:35 PM Expected non-empty string, but got empty string
2/13/2015 10:40:35 PM Expected state abbreviation, but got WI
2/13/2015 10:40:44 PM Expected non-empty string, but got empty string
2/13/2015 10:40:44 PM Expected product name, but got Lam
2/13/2015 10:40:50 PM Expected non-empty string, but got empty string
2/13/2015 10:40:55 PM Expected decimal, but got 420
2/15/2015 11:00:57 AM Expected non-empty string, but got empty string
2/15/2015 11:00:57 AM Expected non-empty string, but got empty string
2/15/2015 11:00:58 AM Expected non-empty string, but got empty string
2/15/2015 11:00:58 AM Expected non-empty string, but got empty string
2/15/2015 11:00:58 AM Expected non-empty string, but got empty string
2/15/2015 11:01:02 AM Expected non-empty string, but got empty string
2/15/2015 11:01:05 AM Expected non-empty string, but got empty string
2/15/2015 11:01:05 AM Expected state abbreviation, but got WI
2/15/2015 11:01:17 AM Expected non-empty string, but got empty string
2/15/2015 11:01:17 AM Expected product name, but got Siding
2/15/2015 11:01:21 AM Expected non-empty string, but got empty string
2/15/2015 11:01:21 AM Expected product name, but got Woodddd
2/15/2015 11:01:26 AM Expected non-empty string, but got empty string
2/15/2015 11:01:26 AM Expected product name, but got wood   
2/15/2015 11:01:29 AM Expected non-empty string, but got empty string
2/15/2015 11:01:33 AM Expected decimal, but got 700
2/15/2015 11:01:44 AM Expected non-empty string, but got empty string
2/15/2015 11:01:46 AM Expected non-empty string, but got empty string
2/15/2015 11:01:47 AM Expected non-empty string, but got empty string
2/15/2015 11:01:47 AM Expected state abbreviation, but got 3
2/15/2015 11:01:51 AM Expected non-empty string, but got empty string
2/15/2015 11:01:51 AM Expected state abbreviation, but got nd
2/15/2015 11:01:57 AM Expected non-empty string, but got empty string
2/15/2015 11:01:57 AM Expected product name, but got cola
2/15/2015 11:01:59 AM Expected non-empty string, but got empty string
2/15/2015 11:02:01 AM Expected decimal, but got 389
2/15/2015 11:02:13 AM Expected yes or no, but got 
2/15/2015 11:56:48 AM Expected non-empty string, but got empty string
2/15/2015 11:57:13 AM Expected non-empty string, but got empty string
2/15/2015 11:57:21 AM Expected non-empty string, but got empty string
2/15/2015 11:57:21 AM Expected state abbreviation, but got MN
2/15/2015 11:57:24 AM Expected non-empty string, but got empty string
2/15/2015 11:57:26 AM Expected decimal, but got 100
2/15/2015 12:33:30 PM Expected non-empty string, but got empty string
2/15/2015 1:10:13 PM Expected integer, but got r
2/15/2015 1:10:19 PM Expected integer, but got -5
2/15/2015 1:10:25 PM Expected integer, but got  
2/15/2015 1:38:04 PM Expected integer, but got -15
2/15/2015 1:38:11 PM Expected non-empty string, but got empty string
2/15/2015 1:38:21 PM Expected integer, but got -2
2/15/2015 1:42:10 PM Expected integer, but got -7
2/15/2015 1:42:15 PM Expected integer, but got   
2/15/2015 1:43:40 PM Expected non-empty string, but got empty string
2/15/2015 1:48:19 PM Expected integer, but got 0
2/15/2015 1:48:29 PM Expected integer, but got -5
2/15/2015 1:48:38 PM Expected integer, but got   
2/15/2015 1:49:00 PM Expected integer, but got    
2/15/2015 1:50:25 PM Expected integer, but got    
2/15/2015 1:50:36 PM Expected integer, but got -19
2/15/2015 1:50:40 PM Expected integer, but got  
2/15/2015 1:50:44 PM Expected integer, but got     
2/15/2015 1:53:56 PM Expected date, but got 0
2/15/2015 1:55:18 PM Expected integer, but got    
2/15/2015 1:55:28 PM Expected integer, but got -15
2/15/2015 2:07:58 PM Expected date, but got 01
2/15/2015 2:08:02 PM Expected date, but got   
2/15/2015 2:08:06 PM Expected date, but got 06
2/15/2015 2:09:13 PM Expected integer, but got    
2/15/2015 2:10:09 PM Expected integer, but got -3
2/15/2015 2:14:29 PM Expected integer, but got    
2/15/2015 2:14:38 PM Expected integer, but got -11
2/15/2015 2:16:04 PM Expected date, but got 00
2/15/2015 2:17:32 PM Expected integer, but got -1
2/15/2015 2:18:12 PM Expected non-empty string, but got empty string
2/15/2015 2:18:16 PM Expected non-empty string, but got empty string
2/15/2015 2:18:16 PM Expected state abbreviation, but got SD
2/15/2015 2:18:19 PM Expected non-empty string, but got empty string
2/15/2015 2:18:19 PM Expected product name, but got    
2/15/2015 2:18:25 PM Expected non-empty string, but got empty string
2/15/2015 2:18:34 PM Expected integer, but got -177-
2/15/2015 2:18:34 PM Expected decimal, but got -100
2/15/2015 2:18:40 PM Expected decimal, but got 0
2/15/2015 2:18:44 PM Expected decimal, but got 100
2/15/2015 2:21:47 PM Expected date, but got 0
2/15/2015 2:26:09 PM Expected integer, but got -19
2/15/2015 2:26:14 PM Expected integer, but got    
2/15/2015 2:40:14 PM Expected non-empty string, but got empty string
2/15/2015 2:40:17 PM Expected non-empty string, but got empty string
2/15/2015 2:40:17 PM Expected state abbreviation, but got WI
